;Daylight;Closeness to ground;Closeness to facade;Sound;Prox. Main road;neededvoxels
Elderly units;0.9;0.5;0.9;0.5;0;3000
Starter units;0.9;0;0.8;0.1;0;3000
Student units;0.7;0;0.6;0;0;7000
Co-gardening;0.9;0;0;0.3;0;1000
Elderly care centre;0.4;0.5;0;0.5;0.3;500
Workspaces (3 types. atlier etc.);0.7;0;0;0.3;0;1500
Parking (shared mobility);0;0.9;0;0;0;10
Day care;0.4;0.3;0;0;0;500
Playground (In- & Outside);0.5;0.9;0;0;0;1000
Spa/gym;0;0;0;0;0;1500
Supermarket;0;0.9;0.5;0;0;2000
Cafe + restaurant;0.5;0.9;0;0.3;0;2000
Library;0.7;0.5;0;0.3;0;1500
Atrium;0.5;0.9;0.2;0;0;2500
