WKT;identifica;rdf_seeals;bouwjaar;status;gebruiksdo;oppervlakt;oppervla_1;aantal_ver;fuuid
"MULTIPOLYGON Z (((79975.19 454588.222 0,79984.286 454592.756 0,79986.701 454587.925 0,79977.606 454583.391 0,79975.19 454588.222 0)))";"0518100001759027";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759027;2020;Pand in gebruik;woonfunctie;141;141;1;pand.dd27d6c1-cbb7-457c-9e16-d87ed1bb067e
"MULTIPOLYGON Z (((79994.821 454635.502 0,79999.121 454637.648 0,80003.631 454628.633 0,79999.331 454626.487 0,79994.821 454635.502 0)))";"0518100001759053";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759053;2020;Pand in gebruik;woonfunctie;162;162;1;pand.f7fc179b-2bf1-42d1-95e5-44147c97288c
"MULTIPOLYGON Z (((79969.021 454622.624 0,79973.32 454624.77 0,79977.831 454615.755 0,79973.531 454613.609 0,79969.021 454622.624 0)))";"0518100001759044";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759044;2020;Pand in gebruik;woonfunctie;162;162;1;pand.1d90178d-92db-4af2-b943-0663177cc9f2
"MULTIPOLYGON Z (((79981.92 454629.062 0,79986.221 454631.209 0,79990.731 454622.194 0,79986.431 454620.048 0,79981.92 454629.062 0)))";"0518100001759045";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759045;2020;Pand in gebruik;woonfunctie;162;162;1;pand.cee7d5f5-6a8d-4d4a-b6dd-ad4749cbcf0d
"MULTIPOLYGON Z (((79986.221 454631.209 0,79990.521 454633.356 0,79995.031 454624.341 0,79990.731 454622.194 0,79986.221 454631.209 0)))";"0518100001759046";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759046;2020;Pand in gebruik;woonfunctie;162;162;1;pand.d04205a0-14ef-45ba-bf75-d431f08160e0
"MULTIPOLYGON Z (((79977.621 454626.916 0,79981.92 454629.062 0,79986.431 454620.048 0,79982.131 454617.902 0,79977.621 454626.916 0)))";"0518100001759047";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759047;2020;Pand in gebruik;woonfunctie;162;162;1;pand.ddfe3113-b9fb-40b8-ab69-560f98a74c97
"MULTIPOLYGON Z (((79960.195 454618.218 0,79964.72 454620.477 0,79969.23 454611.462 0,79964.697 454609.199 0,79960.195 454618.218 0)))";"0518100001759048";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759048;2020;Pand in gebruik;woonfunctie;162;162;1;pand.c9d31fb4-ff2d-45cf-a4a9-2f489ed94c64
"MULTIPOLYGON Z (((79964.72 454620.477 0,79969.021 454622.624 0,79973.531 454613.609 0,79969.23 454611.462 0,79964.72 454620.477 0)))";"0518100001759049";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759049;2020;Pand in gebruik;woonfunctie;162;162;1;pand.5d80bdc7-5e59-43e5-b95d-94a6a7ea2bcb
"MULTIPOLYGON Z (((79999.121 454637.648 0,80003.681 454639.924 0,80008.183 454630.905 0,80003.631 454628.633 0,79999.121 454637.648 0)))";"0518100001759050";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759050;2020;Pand in gebruik;woonfunctie;162;162;1;pand.a2683392-13ab-4b6d-a876-8fe38497f0c1
"MULTIPOLYGON Z (((79973.32 454624.77 0,79977.621 454626.916 0,79982.131 454617.902 0,79977.831 454615.755 0,79973.32 454624.77 0)))";"0518100001759051";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759051;2020;Pand in gebruik;woonfunctie;162;162;1;pand.e048b1e6-f115-4d75-953d-d8acf74bb4d8
"MULTIPOLYGON Z (((79990.521 454633.356 0,79994.821 454635.502 0,79999.331 454626.487 0,79995.031 454624.341 0,79990.521 454633.356 0)))";"0518100001759052";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759052;2020;Pand in gebruik;woonfunctie;162;162;1;pand.59fde4a7-8c79-452e-94b8-095ac62b4471
"MULTIPOLYGON Z (((80005.083 454625.659 0,80006.935 454626.583 0,80008.289 454623.872 0,80006.436 454622.948 0,80005.083 454625.659 0)))";"0518100001759054";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759054;2020;Pand in gebruik;;;;0;pand.9bd369a6-7a66-4bc3-9410-ecc78be2a28c
"MULTIPOLYGON Z (((79997.138 454620.144 0,79999.84 454621.493 0,80000.769 454619.632 0,79998.067 454618.283 0,79997.138 454620.144 0)))";"0518100001759055";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759055;2020;Pand in gebruik;;;;0;pand.ded5daa7-0a40-47cb-92b8-09309cebeeb5
"MULTIPOLYGON Z (((79968.936 454607.616 0,79970.788 454608.54 0,79972.141 454605.829 0,79970.289 454604.905 0,79968.936 454607.616 0)))";"0518100001759056";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759056;2020;Pand in gebruik;;;;0;pand.24033655-0d49-4700-abd9-8319b17ec142
"MULTIPOLYGON Z (((79970.788 454608.54 0,79972.64 454609.465 0,79973.993 454606.754 0,79972.141 454605.829 0,79970.788 454608.54 0)))";"0518100001759057";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759057;2020;Pand in gebruik;;;;0;pand.81f29df0-51d4-4a8e-aa6f-462939bfcfba
"MULTIPOLYGON Z (((79985.82 454614.495 0,79988.522 454615.844 0,79989.451 454613.983 0,79986.749 454612.634 0,79985.82 454614.495 0)))";"0518100001759058";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759058;2020;Pand in gebruik;;;;0;pand.6ba3e901-91c2-4720-8ffa-8ddd28008c7f
"MULTIPOLYGON Z (((79979.96 454611.57 0,79982.662 454612.918 0,79983.591 454611.057 0,79980.888 454609.709 0,79979.96 454611.57 0)))";"0518100001759059";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759059;2020;Pand in gebruik;;;;0;pand.3731de35-8184-4f7b-8b4f-00676fa86d6c
"MULTIPOLYGON Z (((79977.257 454610.221 0,79979.96 454611.57 0,79980.888 454609.709 0,79978.186 454608.36 0,79977.257 454610.221 0)))";"0518100001759060";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759060;2020;Pand in gebruik;;;;0;pand.c53abbf9-5481-48d2-b377-856fb2b476d2
"MULTIPOLYGON Z (((79988.522 454615.844 0,79991.224 454617.192 0,79992.153 454615.331 0,79989.451 454613.983 0,79988.522 454615.844 0)))";"0518100001759061";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759061;2020;Pand in gebruik;;;;0;pand.0b5817c2-7608-44e5-a529-ae49fa6ac3e5
"MULTIPOLYGON Z (((79994.436 454618.796 0,79997.138 454620.144 0,79998.067 454618.283 0,79995.365 454616.935 0,79994.436 454618.796 0)))";"0518100001759062";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759062;2020;Pand in gebruik;;;;0;pand.cebbee7b-547b-4151-9404-a556d7de096c
"MULTIPOLYGON Z (((80003.231 454624.734 0,80005.083 454625.659 0,80006.436 454622.948 0,80004.584 454622.023 0,80003.231 454624.734 0)))";"0518100001759063";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759063;2020;Pand in gebruik;;;;0;pand.2c38312c-400e-436f-8c87-6a79b59741e2
"MULTIPOLYGON Z (((79970.358 454597.882 0,79979.457 454602.417 0,79981.871 454597.587 0,79972.774 454593.052 0,79970.358 454597.882 0)))";"0518100001759064";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759064;2020;Pand in gebruik;woonfunctie;141;141;1;pand.c770d4ce-980e-4b6b-8356-3fbd0119cef9
"MULTIPOLYGON Z (((79972.774 454593.052 0,79981.871 454597.587 0,79984.286 454592.756 0,79975.19 454588.222 0,79972.774 454593.052 0)))";"0518100001759065";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759065;2020;Pand in gebruik;woonfunctie;141;141;1;pand.bfd8f1cc-5357-4fe1-87d7-4e323e8b780d
"MULTIPOLYGON Z (((79967.761 454603.073 0,79976.857 454607.619 0,79979.457 454602.417 0,79970.358 454597.882 0,79967.761 454603.073 0)))";"0518100001759066";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759066;2020;Pand in gebruik;woonfunctie;141;141;1;pand.faad3c5f-bca0-4d0e-912c-7f1dee91e69d
"MULTIPOLYGON Z (((80009.569 454605.359 0,80018.68 454609.902 0,80021.094 454605.07 0,80011.984 454600.528 0,80009.569 454605.359 0)))";"0518100001759067";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759067;2020;Pand in gebruik;woonfunctie;141;141;1;pand.73bb0980-e5d8-4c5e-af88-e3577d4a5652
"MULTIPOLYGON Z (((80007.154 454610.19 0,80016.265 454614.733 0,80018.68 454609.902 0,80009.569 454605.359 0,80007.154 454610.19 0)))";"0518100001759068";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100001759068;2020;Pand in gebruik;woonfunctie;141;141;1;pand.42da46e5-c3f4-4069-a95e-9423a48bdc80
