WKT;full_id;osm_id;osm_type;highway;surface:lanes:forward;surface:lanes:backward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;parking:condition:right;canoe;taxi;bus:lanes:forward;access:lanes:forward;embankment;emergency;survey:date;oneway:psv;oneway:bus;alt_name;motorcar;hazard;office;parking:condition:both;temporary;surface:lanes;sidewalk:right;sidewalk:left;parking:lane:right:capacity;covered;tunnel;maxweight:signed;cycleway:lane;maxaxleload;year_of_construction;construction;traffic_sign:backward;oneway:motorcycle;moped;traffic_calming;wikimedia_commons;mofa;abutters;embedded_rails;bus;bicycle:forward;noexit;maxlength;psv;incline;horse;sidewalk:both;parking:lane:right;bicycle:backward;name:etymology:wikidata;bus:lanes:backward;access:lanes:backward;bridge;source:date;traffic_sign;short_name;parking:lane:both;parking:lane:left;maxweight:destination;maxweight;postal_code;old_name;description;noname;turn:lanes:backward;hgv;wikipedia;wikidata;service;url;source:maxspeed;cycleway:left:oneway;name:zh;turn:lanes:forward;sidewalk:left:surface;motor_vehicle;layer;mapillary;lanes:backward;image;source:width;sidewalk:right:surface;cycleway:both:lane;smoothness;width;sidewalk:both:surface;embedded_rails:lanes;bus:lanes;access:lanes;junction;cycleway:left:lane;cycleway:right:lane;lane_markings;cycleway:both;ele;cycleway:right;cycleway:left;maxheight;access;cycleway;maxspeed:type;turn:lanes;foot;sidewalk;lit;lanes:forward;lanes;bicycle;oneway:moped;oneway:mofa;cyclestreet;zone:traffic;surface;oneway:bicycle;oneway;maxspeed;name
"LINESTRING Z (79179.0564957748 458080.313275028 0,79125.6143105503 458134.440923741 0)";w4478977;"4478977";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marcelisstraat
"LINESTRING Z (80052.9797059421 454098.109800772 0,80057.9825960442 454101.094547333 0,80084.6092810488 454116.984439097 0,80125.4623286986 454141.362180664 0,80188.0904014731 454178.732577566 0,80380.9930135603 454293.899994792 0,80412.2430274135 454312.782361724 0,80414.8994038865 454314.790018917 0,80417.7072264103 454317.75237427 0,80419.4348383088 454321.387439651 0,80421.2659699759 454324.609236601 0)";w4821010;"4821010";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;paving_stones;yes;yes;"30";'s-Gravenzandelaan
"LINESTRING Z (87519.9915739351 454306.498399331 0,87554.0531277644 454336.11361626 0,87566.181617858 454346.653671329 0,87576.7558849326 454355.846160227 0,87585.220875526 454363.208993348 0)";w7446951;"7446951";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Bridgestraat
"LINESTRING Z (87754.0877123688 454344.823663819 0,87748.3941757659 454351.243096064 0,87723.5126647963 454380.287539862 0)";w7446966;"7446966";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Badmintonplein
"LINESTRING Z (87673.3947275025 454437.925404497 0,87715.8896451414 454474.248616811 0)";w7446970;"7446970";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Honkbalstraat
"LINESTRING Z (87585.220875526 454363.208993348 0,87560.0174756409 454391.702271375 0)";w7446978;"7446978";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Biljartplein
"LINESTRING Z (87633.0692580842 454572.06439657 0,87611.9231825652 454588.218069375 0)";w7447118;"7447118";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;;;"30";
"LINESTRING Z (87673.3947275025 454437.925404497 0,87656.3270056021 454457.07256578 0,87639.6104744344 454475.814455823 0)";w7447166;"7447166";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Hockeyplein
"LINESTRING Z (87715.8896451414 454474.248616811 0,87719.6730966895 454478.203269952 0)";w7447209;"7447209";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Voetbalstraat
"LINESTRING Z (87935.4109801651 454072.220005646 0,87931.875169137 454072.913020795 0,87929.3009137221 454074.739184011 0,87872.4290383598 454140.433006825 0,87871.6413886323 454144.059969234 0,87871.8223590405 454147.818522915 0,87873.835132665 454151.140667582 0,87878.6493136249 454155.24845029 0,87898.4558552341 454169.235357753 0,87947.1538860492 454204.319695591 0,87980.9231235729 454239.360680101 0,88010.4346754816 454269.374056462 0)";w7447218;"7447218";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Arenastraat
