WKT;full_id;osm_id;osm_type;access;bicycle_parking;description;trailer;operator;opening_hours;maxheight;location;supervised;park_ride;covered;wheelchair;addr:street;addr:postcode;addr:housenumber;addr:city;start_date;source:date;ref:bag;old_name;layer;website;surface;note:access;capacity;sport;lit;note:fee;fee:conditional;loc_name;leisure;type;parking;name;fee;amenity
"MULTIPOLYGON Z (((85573.9767432919 448026.738745849 0,85571.4456228251 448030.846545695 0,85480.6678549443 447973.649192982 0,85483.2694366866 447969.673890498 0,85485.5416503019 447966.203905561 0,85484.2739991222 447965.398167245 0,85486.4435606157 447961.951868428 0,85488.5753911816 447958.261298322 0,85550.3097428058 447997.069443204 0,85548.0326497726 448000.684119735 0,85549.7089935346 448001.751233659 0,85558.0836823151 448007.075782284 0,85559.6007489352 448008.044973135 0,85561.9464895165 448004.429345867 0,85580.5644999732 448016.154071302 0,85578.9767539416 448018.4906352 0,85573.9767432919 448026.738745849 0)),((85611.1164064093 448040.820595056 0,85613.5533125083 448036.847653294 0,85696.9172427793 448089.365740346 0,85694.2368999959 448093.609077537 0,85692.1947371874 448096.842097348 0,85706.0351753834 448105.707247548 0,85701.6839198555 448112.232624593 0,85701.1593421824 448113.018819457 0,85602.7800500584 448050.572773936 0,85605.3133533603 448046.620740501 0,85611.1164064093 448040.820595056 0)))";r12732465;"12732465";relation;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;multipolygon;surface;P8 Delftse Hout (De Schaapskooi);no;parking
"MULTIPOLYGON Z (((85829.7537695276 448209.341457481 0,85836.7730883348 448199.16284251 0,85977.6741114112 448289.198552558 0,85970.7576672617 448299.876266385 0,85829.7537695276 448209.341457481 0)))";w41878184;"41878184";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;surface;P9 Delftse Hout (Camping);no;parking
"MULTIPOLYGON Z (((85434.7091588489 447239.361295799 0,85466.0143060263 447189.130525443 0,85474.6645171612 447189.488387398 0,85511.1542563549 447211.656991057 0,85503.0376836505 447227.414921546 0,85489.2989223511 447232.446733386 0,85490.8688441042 447236.697689995 0,85476.0248022231 447241.744945497 0,85471.7614662198 447243.284301473 0,85469.9709488527 447238.480066964 0,85454.6506648767 447244.335184345 0,85456.1284159856 447248.375999399 0,85451.5392800119 447250.186968936 0,85447.1501692215 447250.092403688 0,85443.0686337021 447247.434298775 0,85444.4774548012 447245.055684304 0,85434.7091588489 447239.361295799 0)))";w43032296;"43032296";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Speeltuin Simonsstraat;playground;;;Playground Wippolder;;
"MULTIPOLYGON Z (((83581.471415978 446944.826237265 0,83573.9359962263 446956.183814645 0,83576.8471535368 446958.545609783 0,83571.3051670991 446966.202647165 0,83569.4187292006 446964.905522349 0,83562.4293180965 446974.586208815 0,83596.9356902731 446998.505250132 0,83606.3939741011 447000.10569107 0,83618.962605154 446996.398436045 0,83624.6819705158 446993.935343257 0,83634.6276429271 446982.087134021 0,83581.471415978 446944.826237265 0)))";w86847364;"86847364";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;Pieter Steynstraat;no;parking
"MULTIPOLYGON Z (((84481.3949080716 447892.522550077 0,84482.6886493834 447890.790657506 0,84485.7972750755 447893.105666446 0,84484.503533326 447894.837558218 0,84481.3949080716 447892.522550077 0)))";w132241746;"132241746";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;table_tennis;no;;;;pitch;;;;;
"MULTIPOLYGON Z (((84494.4103644115 448317.165390283 0,84503.3481526606 448303.519394582 0,84516.374919053 448312.014452942 0,84513.969091207 448315.687075854 0,84507.4369542657 448325.649300339 0,84494.4103644115 448317.165390283 0)))";w136121067;"136121067";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((85090.9596095207 448545.529367029 0,85066.9714788907 448579.625825889 0,85040.6862503029 448572.795327139 0,85015.0108446623 448573.712081123 0,85052.4517809546 448518.919112078 0,85090.9596095207 448545.529367029 0)))";w143448607;"143448607";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;surface;P1 Delftse Hout (Knus);no;parking
"MULTIPOLYGON Z (((84475.4469716037 447182.121770239 0,84463.8639370004 447205.997714618 0,84469.8635868165 447209.262151137 0,84467.5976062924 447215.091485862 0,84485.4559144688 447222.227411004 0,84488.7051772496 447216.005855595 0,84516.6802770196 447228.150759713 0,84512.597151695 447239.992204965 0,84530.7756181598 447245.499189476 0,84541.3581199703 447215.918146428 0,84535.78999601 447213.059234639 0,84548.294018783 447185.33155942 0,84508.4611950973 447164.541314292 0,84504.9742068584 447171.923447291 0,84498.811810844 447168.805923041 0,84489.4074971267 447187.487970777 0,84475.4469716037 447182.121770239 0)))";w143448608;"143448608";way;yes;;;;;;;;;;;;;;;;;;;;;;asphalt;"Parkeergebied B, mixparkeren (betaald en vergunning)";"165";;yes;Parkeergebied B;"yes @ (Mo-Sa 10:00-24:00; Su 12:00-24:00)";;;;surface;Gasthuisplaats;no;parking
"MULTIPOLYGON Z (((84342.394307599 448056.603283882 0,84377.3096113299 448004.522680117 0,84379.5931123787 448001.419215886 0,84400.8890335211 448015.382741909 0,84403.0155831014 448016.710153585 0,84428.3436226388 448032.764259924 0,84430.3970329585 448041.536843144 0,84400.8633871099 448085.328956558 0,84398.5380096858 448095.654586286 0,84395.0301584083 448100.533486148 0,84390.0294238646 448096.954571357 0,84366.0034936409 448080.236833946 0,84370.3658346986 448073.643339815 0,84367.7248877253 448071.867012676 0,84364.7442833459 448069.8618269 0,84360.0037853629 448076.416174963 0,84342.0450020358 448064.898032475 0,84345.7935609282 448059.080995269 0,84342.394307599 448056.603283882 0)))";w143448614;"143448614";way;yes;;;;;;;;;;;;;;;;;;;;;;;"Parkeergebied B, mixparkeren (betaald en vergunning)";"194";;;Parkeergebied B;"yes @ (Mo-Sa 10:00-24:00; Su 12:00-24:00)";;;;surface;Paardenmarkt;no;parking
"MULTIPOLYGON Z (((83893.0197712282 447307.907484876 0,83915.1444062578 447277.581851624 0,83918.1556578158 447279.764377703 0,83924.1263547988 447271.823434052 0,83954.6263702581 447293.865852939 0,83928.3213534909 447330.08156725 0,83924.1463136548 447327.181224579 0,83921.0680557859 447331.375565718 0,83904.5602392661 447319.782624551 0,83906.1705770589 447317.623233503 0,83893.0197712282 447307.907484876 0)))";w143448803;"143448803";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
