WKT;full_id;osm_id;osm_type;highway;sidewalk:left:surface;sidewalk:right:surface;bicycle:backward;destination:lanes;covered;sidewalk:both:surface;cycleway:both;cycleway:left;bicycle:forward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;bus;oneway:bus;bus:lanes:forward;bus:lanes:backward;access:lanes:forward;access:lanes:backward;sidewalk:right;sidewalk:left;lanes:backward;destination:symbol:name;description;traffic_sign;placement:forward;destination:symbol;maxweight:signed;source:width;mapillary;image;embedded_rails:lanes;shoulder;mofa;motor_vehicle;loc_name;psv:lanes;carriageway_ref;voltage;cycleway;embedded_rails;tunnel;smoothness;change:lanes;wikidata;name:etymology:wikidata;placement;width;lane_markings;layer;bridge;priority_road;old_name;agricultural;destination:colour;destination;sidewalk;cycleway:right:lane;cycleway:right;operator;bus:lanes;access:lanes;zone:traffic;moped;turn:lanes:forward;turn:lanes:backward;ref;lanes:forward;destination:ref;destination:forward;destination:backward;maxheight;junction;turn:lanes;source:maxspeed;surface;oneway;old_ref;name;maxspeed;lit;lanes;foot;bicycle
"LINESTRING Z (88809.7528794797 452586.692548897 0,88820.8173463919 452584.676136012 0,88906.0752277647 452571.125948817 0,88977.5344691632 452562.355657456 0,89048.2174108049 452556.066899797 0,89138.9101459919 452552.474284789 0,89213.103277444 452552.784343536 0,89327.1452567402 452556.508834113 0,89431.4708442578 452565.693745544 0,89516.9990670795 452575.183614435 0)";w7447654;"7447654";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;N469;Leidschendamseweg;"80";no;"1";no;no
"LINESTRING Z (89882.1793379903 452653.83713989 0,89816.3663070906 452637.017217432 0,89736.7605689957 452619.778037228 0,89660.0235080534 452604.271689894 0,89641.1172129344 452601.459840688 0,89635.1038239365 452600.57071039 0,89570.4290862447 452590.114906549 0,89497.4381432707 452579.980734191 0,89390.5796466561 452568.535632182 0,89334.8247769091 452565.142353581 0,89259.135340599 452561.100397665 0,89128.1304612062 452560.99558991 0,89090.3586025822 452561.640020108 0,89045.4958640682 452564.470546071 0,88998.6942793441 452567.471826265 0,88905.5455060476 452578.243219451 0,88877.5893806473 452583.031817631 0,88822.226715027 452592.145971334 0,88813.8661231286 452593.748120921 0)";w7447656;"7447656";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;N469;Leidschendamseweg;"80";no;"1";no;no
"LINESTRING Z (87756.2279394826 452967.970875105 0,87747.8854346155 452989.125056328 0,87732.249762224 453034.968863353 0,87726.4950332765 453055.754310936 0,87724.3025691495 453064.5521592 0,87721.1987981608 453076.967531837 0)";w7448232;"7448232";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;left|through|through|right;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"4";no;no
"LINESTRING Z (88408.0094716637 452674.267176009 0,88403.0167276095 452672.264293787 0,88398.8758792044 452668.825746612 0,88395.9892926274 452664.291092525 0,88394.645284049 452659.19057661 0,88394.8970709201 452653.912936396 0,88396.7710350653 452648.891778491 0,88400.0961670561 452644.674622587 0,88404.5486468326 452641.666379781 0,88409.7141592015 452640.17302658 0,88415.0867045616 452640.312602463 0,88420.1656526615 452642.091801482 0,88424.4547036384 452645.328096186 0,88427.5450769475 452649.715388994 0)";w7448233;"7448233";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;roundabout;;;asphalt;;;;"50";yes;"1";;no
"LINESTRING Z (88427.5450769475 452649.715388994 0,88442.4375891379 452647.769354448 0,88809.7528794797 452586.692548897 0)";w7448234;"7448234";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"1";no;no
"LINESTRING Z (88813.8661231286 452593.748120921 0,88514.3770524494 452644.271362406 0,88443.7326948939 452655.885995053 0,88429.1670868645 452659.708145304 0)";w7448238;"7448238";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"1";no;no
"LINESTRING Z (87987.5530446859 452712.30990198 0,88038.921722673 452689.46468537 0,88082.461386066 452677.095730195 0,88126.6377507525 452671.773233585 0,88382.7738515429 452654.69822328 0,88394.8970709201 452653.912936396 0)";w7448240;"7448240";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"1";no;no
"LINESTRING Z (87719.3440714766 453086.395069211 0,87715.6999978713 453104.503741501 0,87674.0762528857 453311.475840153 0,87659.6240380971 453344.796953739 0,87646.7188091586 453369.774042227 0,87629.1861643803 453395.381269029 0,87606.7725787859 453419.096241788 0)";w7448248;"7448248";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"2";no;no
"LINESTRING Z (88395.9892926274 452664.291092525 0,88384.5620504945 452663.77631651 0,88166.5657078964 452678.002510039 0,88116.2842107705 452681.748700943 0,88073.8563798078 452690.597358119 0,88035.146788898 452702.033516129 0,88000.7911801735 452716.40460483 0,87974.6854675353 452730.141907203 0,87952.721920161 452745.347998836 0,87916.5150098216 452772.963693176 0,87908.2399782262 452780.875331116 0,87900.9685542315 452788.439644345 0)";w7448249;"7448249";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"1";no;no
"LINESTRING Z (87876.9071014465 452800.625502537 0,87875.7812185612 452796.479114173 0,87875.8274775954 452793.296117243 0,87876.9351360502 452789.475690744 0,87879.0990696214 452786.164003984 0,87880.9482732236 452784.43661989 0,87883.0768838459 452783.083794596 0,87886.7775552158 452781.83218109 0,87890.8158329432 452781.710992687 0,87894.6433993223 452782.749873717 0,87898.3592577222 452785.170033117 0,87900.9685542315 452788.439644345 0,87902.0940034892 452791.02823887 0,87902.6592213677 452793.780163014 0,87902.6777361042 452796.172256916 0,87902.2774836724 452798.536612044 0,87900.9826642297 452801.703051097 0,87899.0427387361 452804.332951778 0)";w7448251;"7448251";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;roundabout;;;;;;;"50";;"1";;no
